年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,クレイジーダイヤモンド,林保徳,54.2,1着,第一試合,34200,P0320
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,TEAMS Rabbit_yohan,うわぁーん！,6.2,2着,,26200,P0073
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,さわやかMJ野郎の会,黙示録@SMY会,-18.6,3着,,21400,P0316
2025,Aリーグ,レギュラー, 1 ,2025/05/26,21:34:20,TEAM AJITO,あばだんご,-41.8,4着,,18200,P0069
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,レッドリボン軍,小倉唯,62.6,1着,第一試合,42600,P0273
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,TEAM THE ChampLoo,ぼうや,19.3,2着,,39300,P0177
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,武装,年賀状,-30.1,3着,,9900,P0307
2025,Aリーグ,レギュラー, 2 ,2025/05/26,21:34:22,Team MJ lovers,ゆっしー@,-51.8,4着,,8200,P0207
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,たちこまーず,坊や哲,62.2,1着,第一試合,42200,P0310
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,他力本願寺,とり,10.2,2着,,30200,P0148
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,電光石火,魔王,-21.6,3着,,18400,P0312
2025,Bリーグ,レギュラー, 3 ,2025/05/26,21:35:27,おたまーず,二階堂ゴリエ,-50.8,4着,,9200,P0306
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,HIVE,最後のZ戦士達,58.3,1着,第一試合,38300,P0261
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,enjoyすればイイ雀！,七対子大好き,4.0,2着,,24000,P0267
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,チームミラデミア,鞘,-21.0,3着,,19000,P0278
2025,Bリーグ,レギュラー, 4 ,2025/05/26,21:36:10,ＺＯＯ,rinruka,-41.3,4着,,18700,P0052
2025,Bリーグ,レギュラー, 5 ,2025/05/26,21:40:59,サクラフレンズ,捜査一課長,60.9,1着,第一試合,40900,P0292
2025,Bリーグ,レギュラー, 5 ,2025/05/26,21:40:59,最強位ズ,Hiromu,6.4,2着,,26400,P0030
2025,Bリーグ,レギュラー, 5 ,2025/05/26,21:40:59,教室生☆KSC,川端由紀,-20.4,3着,,19600,P0289
2025,Bリーグ,レギュラー, 5 ,2025/05/26,21:40:59,ガラスのお面,とみちよ,-46.9,4着,,13100,P0145
2025,Aリーグ,レギュラー, 6 ,2025/05/26,21:46:19,SILVER WOLVES,まーくん RMU,72.9,1着,第一試合,52900,P0184
2025,Aリーグ,レギュラー, 6 ,2025/05/26,21:46:19,MJ東京,J,10.2,2着,,30200,P0032
2025,Aリーグ,レギュラー, 6 ,2025/05/26,21:46:19,MJAC愛好会,おかぴー,-28.6,3着,,11400,P0079
2025,Aリーグ,レギュラー, 6 ,2025/05/26,21:46:19,SSブルーバーズ,サヴェ松田,-54.5,4着,,5500,P0107
2025,Aリーグ,レギュラー, 7 ,2025/05/26,22:27:39,MJ東京,Ryuiso,68.7,1着,第二試合,48700,P0055
2025,Aリーグ,レギュラー, 7 ,2025/05/26,22:27:39,SSブルーバーズ,石田亮太,9.5,2着,,29500,P0014
2025,Aリーグ,レギュラー, 7 ,2025/05/26,22:27:39,SILVER WOLVES,阿賀寿直,-24.2,3着,,15800,P0228
2025,Aリーグ,レギュラー, 7 ,2025/05/26,22:27:39,MJAC愛好会,湾奥アングラー,-54.0,4着,,6000,P0323
2025,Bリーグ,レギュラー, 8 ,2025/05/26,22:32:15,おたまーず,鰤トニー,55.4,1着,第二試合,35400,P0326
2025,Bリーグ,レギュラー, 8 ,2025/05/26,22:32:15,電光石火,フミオ,11.7,2着,,31700,P0168
2025,Bリーグ,レギュラー, 8 ,2025/05/26,22:32:15,他力本願寺,たくおっち,-21.3,3着,,18700,P0132
2025,Bリーグ,レギュラー, 8 ,2025/05/26,22:32:15,たちこまーず,はち,-45.8,4着,,14200,P0157
2025,Bリーグ,レギュラー, 9 ,2025/05/26,22:34:24,教室生☆KSC,w-baby,52.6,1着,第二試合,32600,P0060
2025,Bリーグ,レギュラー, 9 ,2025/05/26,22:34:24,最強位ズ,リョータ,10.2,2着,,30200,P0217
2025,Bリーグ,レギュラー, 9 ,2025/05/26,22:34:24,サクラフレンズ,なおきち,-18.9,3着,,21100,P0149
2025,Bリーグ,レギュラー, 9 ,2025/05/26,22:34:24,ガラスのお面,大佐@天極牌,-43.9,4着,,16100,P0296
2025,Aリーグ,レギュラー, 10 ,2025/05/26,22:36:45,Team MJ lovers,激昂ラージャン,73.5,1着,第二試合,53500,P0254
2025,Aリーグ,レギュラー, 10 ,2025/05/26,22:36:45,TEAM THE ChampLoo,狐-style,21.4,2着,,41400,P0256
2025,Aリーグ,レギュラー, 10 ,2025/05/26,22:36:45,レッドリボン軍,くまさぶろー,-34.7,3着,,5300,P0100
2025,Aリーグ,レギュラー, 10 ,2025/05/26,22:36:45,武装,とむとむ,-60.2,4着,,-200,P0146
2025,Bリーグ,レギュラー, 11 ,2025/05/26,22:39:53,ＺＯＯ,サンタマルコ,49.8,1着,第二試合,29800,P0110
2025,Bリーグ,レギュラー, 11 ,2025/05/26,22:39:53,チームミラデミア,inter,8.7,2着,,28700,P0031
2025,Bリーグ,レギュラー, 11 ,2025/05/26,22:39:53,HIVE,リー,-12.0,3着,,28000,P0213
2025,Bリーグ,レギュラー, 11 ,2025/05/26,22:39:53,enjoyすればイイ雀！,じゅねこ,-46.5,4着,,13500,P0116
2025,Aリーグ,レギュラー, 12 ,2025/05/26,22:45:35,TEAM AJITO,chemi,66.7,1着,第二試合,46700,P0022
2025,Aリーグ,レギュラー, 12 ,2025/05/26,22:45:35,クレイジーダイヤモンド,太郎,7.7,2着,,27700,P0294
2025,Aリーグ,レギュラー, 12 ,2025/05/26,22:45:35,TEAMS Rabbit_yohan,(∵),-16.2,3着,,23800,P0003
2025,Aリーグ,レギュラー, 12 ,2025/05/26,22:45:35,さわやかMJ野郎の会,はなびん,-58.2,4着,,1800,P0159
2025,Aリーグ,レギュラー, 13 ,2025/05/27,21:27:56,MJAC愛好会,ロッキンポ,77.7,1着,第一試合,57700,P0223
2025,Aリーグ,レギュラー, 13 ,2025/05/27,21:27:56,TEAM AJITO,flantic,8.1,2着,,28100,P0025
2025,Aリーグ,レギュラー, 13 ,2025/05/27,21:27:56,TEAMS Rabbit_yohan,RUM,-22.9,3着,,17100,P0054
2025,Aリーグ,レギュラー, 13 ,2025/05/27,21:27:56,Team MJ lovers,溝渕智也,-62.9,4着,,-2900,P0259
2025,Bリーグ,レギュラー, 14 ,2025/05/27,21:30:26,たちこまーず,ミズゴロウ♂,53.6,1着,第一試合,33600,P0193
2025,Bリーグ,レギュラー, 14 ,2025/05/27,21:30:26,教室生☆KSC,Redstar,7.8,2着,,27800,P0051
2025,Bリーグ,レギュラー, 14 ,2025/05/27,21:30:26,HIVE,カルア,-17.7,3着,,22300,P0093
2025,Bリーグ,レギュラー, 14 ,2025/05/27,21:30:26,おたまーず,凡野,-43.7,4着,,16300,P0311
2025,Bリーグ,レギュラー, 15 ,2025/05/27,21:34:26,チームミラデミア,ひろとだポン,58.8,1着,第一試合,38800,P0163
2025,Bリーグ,レギュラー, 15 ,2025/05/27,21:34:26,ガラスのお面,miiko,8.8,2着,,28800,P0041
2025,Bリーグ,レギュラー, 15 ,2025/05/27,21:34:26,他力本願寺,灰鶴,-18.1,3着,,21900,P0239
2025,Bリーグ,レギュラー, 15 ,2025/05/27,21:34:26,サクラフレンズ,セシル,-49.5,4着,,10500,P0123
2025,Bリーグ,レギュラー, 16 ,2025/05/27,21:38:27,enjoyすればイイ雀！,Blush,57.4,1着,第一試合,37400,P0019
2025,Bリーグ,レギュラー, 16 ,2025/05/27,21:38:27,最強位ズ,ブ茶ラティ,9.0,2着,,29000,P0171
2025,Bリーグ,レギュラー, 16 ,2025/05/27,21:38:27,ＺＯＯ,rinruka,-16.9,3着,,23100,P0052
2025,Bリーグ,レギュラー, 16 ,2025/05/27,21:38:27,電光石火,どっち？弾平,-49.5,4着,,10500,P0143
2025,Aリーグ,レギュラー, 17 ,2025/05/27,21:38:48,MJ東京,えんがわ,76.5,1着,第一試合,56500,P0078
2025,Aリーグ,レギュラー, 17 ,2025/05/27,21:38:48,武装,ツナマヨ,7.9,2着,,27900,P0138
2025,Aリーグ,レギュラー, 17 ,2025/05/27,21:38:48,TEAM THE ChampLoo,仇森 龍,-15.9,3着,,24100,P0245
2025,Aリーグ,レギュラー, 17 ,2025/05/27,21:38:48,さわやかMJ野郎の会,黒太郎@SMY会,-68.5,4着,,-8500,P0260
2025,Aリーグ,レギュラー, 18 ,2025/05/27,21:54:16,クレイジーダイヤモンド,初日の出ソニー,74.0,1着,第一試合,54000,P0270
2025,Aリーグ,レギュラー, 18 ,2025/05/27,21:54:16,SSブルーバーズ,おむ,26.8,2着,,46800,P0086
2025,Aリーグ,レギュラー, 18 ,2025/05/27,21:54:16,レッドリボン軍,小倉唯,-18.1,3着,,21900,P0273
2025,Aリーグ,レギュラー, 18 ,2025/05/27,21:54:16,SILVER WOLVES,田口淳之介,-82.7,4着,,-22700,P0269
2025,Aリーグ,レギュラー, 19 ,2025/05/27,22:25:47,SSブルーバーズ,ハナノア,55.6,1着,第二試合,35600,P0158
2025,Aリーグ,レギュラー, 19 ,2025/05/27,22:25:47,クレイジーダイヤモンド,ゆめみや,10.9,2着,,30900,P0208
2025,Aリーグ,レギュラー, 19 ,2025/05/27,22:25:47,SILVER WOLVES,石川和男,-13.0,3着,,27000,P0285
2025,Aリーグ,レギュラー, 19 ,2025/05/27,22:25:47,レッドリボン軍,なおすけ,-53.5,4着,,6500,P0150
2025,Bリーグ,レギュラー, 20 ,2025/05/27,22:27:29,教室生☆KSC,。☆悠紀子☆。,67.7,1着,第二試合,47700,P0002
2025,Bリーグ,レギュラー, 20 ,2025/05/27,22:27:29,たちこまーず,シクラメン富男,5.0,2着,,25000,P0113
2025,Bリーグ,レギュラー, 20 ,2025/05/27,22:27:29,HIVE,まぽぽ,-20.2,3着,,19800,P0188
2025,Bリーグ,レギュラー, 20 ,2025/05/27,22:27:29,おたまーず,もっこり,-52.5,4着,,7500,P0198
2025,Aリーグ,レギュラー, 21 ,2025/05/27,22:34:27,MJ東京,キラ、,55.0,1着,第二試合,35000,P0096
2025,Aリーグ,レギュラー, 21 ,2025/05/27,22:34:27,武装,ゆんゆん,10.6,2着,,30600,P0210
2025,Aリーグ,レギュラー, 21 ,2025/05/27,22:34:27,さわやかMJ野郎の会,パイ乙戦士全ツ,-21.3,3着,,18700,P0156
2025,Aリーグ,レギュラー, 21 ,2025/05/27,22:34:27,TEAM THE ChampLoo,やまだたろう,-44.3,4着,,15700,P0201
2025,Bリーグ,レギュラー, 22 ,2025/05/27,22:34:56,他力本願寺,長谷川,59.3,1着,第二試合,39300,P0301
2025,Bリーグ,レギュラー, 22 ,2025/05/27,22:34:56,ガラスのお面,ゆう,15.7,2着,,35700,P0202
2025,Bリーグ,レギュラー, 22 ,2025/05/27,22:34:56,チームミラデミア,may,-14.1,3着,,25900,P0040
2025,Bリーグ,レギュラー, 22 ,2025/05/27,22:34:56,サクラフレンズ,くすだま,-60.9,4着,,-900,P0098
2025,Bリーグ,レギュラー, 23 ,2025/05/27,22:39:21,ＺＯＯ,すー,68.0,1着,第二試合,48000,P0121
2025,Bリーグ,レギュラー, 23 ,2025/05/27,22:39:21,電光石火,EmperorTime,7.4,2着,,27400,P0024
2025,Bリーグ,レギュラー, 23 ,2025/05/27,22:39:21,enjoyすればイイ雀！,べびたん,-18.4,3着,,21600,P0173
2025,Bリーグ,レギュラー, 23 ,2025/05/27,22:39:21,最強位ズ,まびたん,-57.0,4着,,3000,P0187
2025,Aリーグ,レギュラー, 24 ,2025/05/27,22:42:38,MJAC愛好会,冬のミルク,76.3,1着,第二試合,56300,P0304
2025,Aリーグ,レギュラー, 24 ,2025/05/27,22:42:38,TEAMS Rabbit_yohan,ひぽきよし,12.1,2着,,32100,P0162
2025,Aリーグ,レギュラー, 24 ,2025/05/27,22:42:38,Team MJ lovers,ysk,-44.2,3着,,-4200,P0065
2025,Aリーグ,レギュラー, 24 ,2025/05/27,22:42:38,TEAM AJITO,pokopoko1234,-44.2,3着,,-4200,P0049
2025,Bリーグ,レギュラー, 25 ,2025/05/29,21:23:58,おたまーず,羽田暁音,56.6,1着,第一試合,36600,P0232
2025,Bリーグ,レギュラー, 25 ,2025/05/29,21:23:58,チームミラデミア,Nukoshi,10.1,2着,,30100,P0048
2025,Bリーグ,レギュラー, 25 ,2025/05/29,21:23:58,教室生☆KSC,☆魔雀T塾生☆,-19.5,3着,,20500,P0010
2025,Bリーグ,レギュラー, 25 ,2025/05/29,21:23:58,最強位ズ,ねこます,-47.2,4着,,12800,P0155
2025,Aリーグ,レギュラー, 26 ,2025/05/29,21:32:40,SILVER WOLVES,松崎真也,58.3,1着,第一試合,38300,P0276
2025,Aリーグ,レギュラー, 26 ,2025/05/29,21:32:40,MJ東京,Ryuiso,10.8,2着,,30800,P0055
2025,Aリーグ,レギュラー, 26 ,2025/05/29,21:32:40,武装,しんじゃうツモ,-14.7,3着,,25300,P0119
2025,Aリーグ,レギュラー, 26 ,2025/05/29,21:32:40,MJAC愛好会,教室生 ユウ,-54.4,4着,,5600,P0248
2025,Bリーグ,レギュラー, 27 ,2025/05/29,21:37:16,enjoyすればイイ雀！,銀河,55.6,1着,第一試合,35600,P0253
2025,Bリーグ,レギュラー, 27 ,2025/05/29,21:37:16,電光石火,ミッキー柳井,8.0,2着,,28000,P0194
2025,Bリーグ,レギュラー, 27 ,2025/05/29,21:37:16,たちこまーず,ミズゴロウ♂,-19.6,3着,,20400,P0193
2025,Bリーグ,レギュラー, 27 ,2025/05/29,21:37:16,他力本願寺,YOU太郎,-44.0,4着,,16000,P0064
2025,Bリーグ,レギュラー, 28 ,2025/05/29,21:40:41,ＺＯＯ,Bu Ki Chi,57.2,1着,第一試合,37200,P0020
2025,Bリーグ,レギュラー, 28 ,2025/05/29,21:40:41,HIVE,おぼろ,9.1,2着,,29100,P0085
2025,Bリーグ,レギュラー, 28 ,2025/05/29,21:40:41,ガラスのお面,りょう,-22.7,3着,,17300,P0216
2025,Bリーグ,レギュラー, 28 ,2025/05/29,21:40:41,サクラフレンズ,‪☆徳徳☆,-43.6,4着,,16400,P0009
2025,Aリーグ,レギュラー, 29 ,2025/05/29,21:46:11,SSブルーバーズ,Hara,62.7,1着,第一試合,42700,P0029
2025,Aリーグ,レギュラー, 29 ,2025/05/29,21:46:11,クレイジーダイヤモンド,おもも,5.3,2着,,25300,P0087
2025,Aリーグ,レギュラー, 29 ,2025/05/29,21:46:11,さわやかMJ野郎の会,つよ,-19.9,3着,,20100,P0139
2025,Aリーグ,レギュラー, 29 ,2025/05/29,21:46:11,Team MJ lovers,中出雄介,-48.1,4着,,11900,P0298
2025,Aリーグ,レギュラー, 30 ,2025/05/29,22:02:53,レッドリボン軍,カオス,53.9,1着,第一試合,33900,P0089
2025,Aリーグ,レギュラー, 30 ,2025/05/29,22:02:53,TEAM THE ChampLoo,まんまる,10.1,2着,,30100,P0190
2025,Aリーグ,レギュラー, 30 ,2025/05/29,22:02:53,TEAMS Rabbit_yohan,とらちゃん,-12.9,3着,,27100,P0147
2025,Aリーグ,レギュラー, 30 ,2025/05/29,22:02:53,TEAM AJITO,神田大行,-51.1,4着,,8900,P0282
2025,Bリーグ,レギュラー, 31 ,2025/05/29,22:33:55,HIVE,ゆん,64.3,1着,第二試合,44300,P0209
2025,Bリーグ,レギュラー, 31 ,2025/05/29,22:33:55,ガラスのお面,こすぎっち,5.1,2着,,25100,P0105
2025,Bリーグ,レギュラー, 31 ,2025/05/29,22:33:55,ＺＯＯ,すー,-22.4,3着,,17600,P0121
2025,Bリーグ,レギュラー, 31 ,2025/05/29,22:33:55,サクラフレンズ,時々さんじょ,-47.0,4着,,13000,P0266
2025,Bリーグ,レギュラー, 32 ,2025/05/29,22:34:58,電光石火,k-k,54.5,1着,第二試合,34500,P0034
2025,Bリーグ,レギュラー, 32 ,2025/05/29,22:34:58,他力本願寺,たくおっち,11.6,2着,,31600,P0132
2025,Bリーグ,レギュラー, 32 ,2025/05/29,22:34:58,たちこまーず,シクラメン富男,-17.0,3着,,23000,P0113
2025,Bリーグ,レギュラー, 32 ,2025/05/29,22:34:58,enjoyすればイイ雀！,Blush,-49.1,4着,,10900,P0019
2025,Aリーグ,レギュラー, 33 ,2025/05/29,22:35:12,SSブルーバーズ,ニコラス,66.9,1着,第二試合,46900,P0154
2025,Aリーグ,レギュラー, 33 ,2025/05/29,22:35:12,Team MJ lovers,中出雄介,9.6,2着,,29600,P0298
2025,Aリーグ,レギュラー, 33 ,2025/05/29,22:35:12,さわやかMJ野郎の会,ソニア@SMY会,-21.6,3着,,18400,P0127
2025,Aリーグ,レギュラー, 33 ,2025/05/29,22:35:12,クレイジーダイヤモンド,アスラン,-54.9,4着,,5100,P0068
2025,Aリーグ,レギュラー, 34 ,2025/05/29,22:37:46,レッドリボン軍,くまさぶろー,57.9,1着,第二試合,37900,P0100
2025,Aリーグ,レギュラー, 34 ,2025/05/29,22:37:46,TEAM THE ChampLoo,炎上！炎上！,17.8,2着,,37800,P0233
2025,Aリーグ,レギュラー, 34 ,2025/05/29,22:37:46,TEAM AJITO,安住太一,-12.8,3着,,27200,P0229
2025,Aリーグ,レギュラー, 34 ,2025/05/29,22:37:46,TEAMS Rabbit_yohan,引き運最弱マン,-62.9,4着,,-2900,P0231
2025,Bリーグ,レギュラー, 35 ,2025/05/29,22:43:14,最強位ズ,まびたん,81.3,1着,第二試合,61300,P0187
2025,Bリーグ,レギュラー, 35 ,2025/05/29,22:43:14,チームミラデミア,ココロん,10.2,2着,,30200,P0104
2025,Bリーグ,レギュラー, 35 ,2025/05/29,22:43:14,おたまーず,羽田暁音,-21.6,3着,,18400,P0232
2025,Bリーグ,レギュラー, 35 ,2025/05/29,22:43:14,教室生☆KSC,元教室生タク,-69.9,4着,,-9900,P0255
2025,Aリーグ,レギュラー, 36 ,2025/05/29,22:49:15,MJAC愛好会,打撃系ヤルカツ,63.0,1着,第二試合,43000,P0295
2025,Aリーグ,レギュラー, 36 ,2025/05/29,22:49:15,MJ東京,チン☆パラ,20.8,2着,,40800,P0136
2025,Aリーグ,レギュラー, 36 ,2025/05/29,22:49:15,SILVER WOLVES,橋本るり子,-19.3,3着,,20700,P0249
2025,Aリーグ,レギュラー, 36 ,2025/05/29,22:49:15,武装,赤哲,-64.5,4着,,-4500,P0288
2025,Bリーグ,レギュラー, 37 ,2025/05/30,21:26:27,最強位ズ,ｒｒｒｒｒｒ,58.4,1着,第一試合,38400,P0053
2025,Bリーグ,レギュラー, 37 ,2025/05/30,21:26:27,おたまーず,凡野,5.7,2着,,25700,P0311
2025,Bリーグ,レギュラー, 37 ,2025/05/30,21:26:27,ＺＯＯ,戯言遣い,-18.9,3着,,21100,P0242
2025,Bリーグ,レギュラー, 37 ,2025/05/30,21:26:27,他力本願寺,ルイ14世,-45.2,4着,,14800,P0218
2025,Aリーグ,レギュラー, 38 ,2025/05/30,21:35:22,MJ東京,J,59.9,1着,第一試合,39900,P0032
2025,Aリーグ,レギュラー, 38 ,2025/05/30,21:35:22,TEAMS Rabbit_yohan,MS,17.2,2着,,37200,P0043
2025,Aリーグ,レギュラー, 38 ,2025/05/30,21:35:22,武装,乙子,-26.6,3着,,13400,P0236
2025,Aリーグ,レギュラー, 38 ,2025/05/30,21:35:22,Team MJ lovers,喜多剛士@μ,-50.5,4着,,9500,P0241
2025,Bリーグ,レギュラー, 39 ,2025/05/30,21:36:19,チームミラデミア,鞘,50.5,1着,第一試合,30500,P0278
2025,Bリーグ,レギュラー, 39 ,2025/05/30,21:36:19,サクラフレンズ,女帝ハンコック,4.5,2着,,24500,P0271
2025,Bリーグ,レギュラー, 39 ,2025/05/30,21:36:19,enjoyすればイイ雀！,かに,-17.0,3着,,23000,P0091
2025,Bリーグ,レギュラー, 39 ,2025/05/30,21:36:19,電光石火,けっけ,-38.0,4着,,22000,P0102
2025,Aリーグ,レギュラー, 40 ,2025/05/30,21:39:08,SILVER WOLVES,阿賀寿直,84.6,1着,第一試合,64600,P0228
2025,Aリーグ,レギュラー, 40 ,2025/05/30,21:39:08,クレイジーダイヤモンド,クピドの悪戯,0.9,2着,,20900,P0099
2025,Aリーグ,レギュラー, 40 ,2025/05/30,21:39:08,レッドリボン軍,とと,-31.8,3着,,8200,P0144
2025,Aリーグ,レギュラー, 40 ,2025/05/30,21:39:08,TEAM AJITO,TOM,-53.7,4着,,6300,P0057
2025,Aリーグ,レギュラー, 41 ,2025/05/30,21:39:12,SSブルーバーズ,Hara,53.8,1着,第一試合,33800,P0029
2025,Aリーグ,レギュラー, 41 ,2025/05/30,21:39:12,MJAC愛好会,つかぴー,10.9,2着,,30900,P0137
2025,Aリーグ,レギュラー, 41 ,2025/05/30,21:39:12,さわやかMJ野郎の会,海賊王,-21.9,3着,,18100,P0238
2025,Aリーグ,レギュラー, 41 ,2025/05/30,21:39:12,TEAM THE ChampLoo,そうまっち,-42.8,4着,,17200,P0126
2025,Bリーグ,レギュラー, 42 ,2025/05/30,21:46:57,たちこまーず,JILL,65.5,1着,第一試合,45500,P0033
2025,Bリーグ,レギュラー, 42 ,2025/05/30,21:46:57,HIVE,郷 ひろし,15.3,2着,,35300,P0250
2025,Bリーグ,レギュラー, 42 ,2025/05/30,21:46:57,教室生☆KSC,川端由紀,-16.7,3着,,23300,P0289
2025,Bリーグ,レギュラー, 42 ,2025/05/30,21:46:57,ガラスのお面,レレレ,-64.1,4着,,-4100,P0222
2025,Bリーグ,レギュラー, 43 ,2025/05/30,22:29:48,HIVE,ゆん,66.1,1着,第二試合,46100,P0209
2025,Bリーグ,レギュラー, 43 ,2025/05/30,22:29:48,教室生☆KSC,w-baby,7.0,2着,,27000,P0060
2025,Bリーグ,レギュラー, 43 ,2025/05/30,22:29:48,たちこまーず,はち,-22.8,3着,,17200,P0157
2025,Bリーグ,レギュラー, 43 ,2025/05/30,22:29:48,ガラスのお面,りょう,-50.3,4着,,9700,P0216
2025,Aリーグ,レギュラー, 44 ,2025/05/30,22:37:15,さわやかMJ野郎の会,優斗@SMY会,65.4,1着,第二試合,45400,P0317
2025,Aリーグ,レギュラー, 44 ,2025/05/30,22:37:15,MJAC愛好会,亜空間コツボー,-1.4,2着,,18600,P0227
2025,Aリーグ,レギュラー, 44 ,2025/05/30,22:37:15,SSブルーバーズ,鈴木正道,-21.8,3着,,18200,P0004
2025,Aリーグ,レギュラー, 44 ,2025/05/30,22:37:15,TEAM THE ChampLoo,シーナー,-42.2,4着,,17800,P0111
2025,Bリーグ,レギュラー, 45 ,2025/05/30,22:37:58,サクラフレンズ,くすだま,50.4,1着,第二試合,30400,P0098
2025,Bリーグ,レギュラー, 45 ,2025/05/30,22:37:58,電光石火,フミオ,9.6,2着,,29600,P0168
2025,Bリーグ,レギュラー, 45 ,2025/05/30,22:37:58,enjoyすればイイ雀！,ブロッケンG,-13.9,3着,,26100,P0170
2025,Bリーグ,レギュラー, 45 ,2025/05/30,22:37:58,チームミラデミア,inter,-46.1,4着,,13900,P0031
2025,Aリーグ,レギュラー, 46 ,2025/05/30,22:40:25,クレイジーダイヤモンド,クピドの悪戯,56.2,1着,第二試合,36200,P0099
2025,Aリーグ,レギュラー, 46 ,2025/05/30,22:40:25,SILVER WOLVES,上野あいみ,13.1,2着,,33100,P0279
2025,Aリーグ,レギュラー, 46 ,2025/05/30,22:40:25,レッドリボン軍,レッド総帥,-18.1,3着,,21900,P0221
2025,Aリーグ,レギュラー, 46 ,2025/05/30,22:40:25,TEAM AJITO,KGRS,-51.2,4着,,8800,P0037
2025,Aリーグ,レギュラー, 47 ,2025/05/30,22:46:24,MJ東京,Mychemi,62.9,1着,第二試合,42900,P0044
2025,Aリーグ,レギュラー, 47 ,2025/05/30,22:46:24,TEAMS Rabbit_yohan,零王,7.0,2着,,27000,P0322
2025,Aリーグ,レギュラー, 47 ,2025/05/30,22:46:24,武装,ゆんゆん,-14.2,3着,,25800,P0210
2025,Aリーグ,レギュラー, 47 ,2025/05/30,22:46:24,Team MJ lovers,μゆぅちゃん,-55.7,4着,,4300,P0327
2025,Bリーグ,レギュラー, 48 ,2025/05/30,22:49:33,他力本願寺,桐生れいか,71.3,1着,第二試合,51300,P0252
2025,Bリーグ,レギュラー, 48 ,2025/05/30,22:49:33,ＺＯＯ,サンタマルコ,8.9,2着,,28900,P0110
2025,Bリーグ,レギュラー, 48 ,2025/05/30,22:49:33,最強位ズ,リョータ,-27.2,3着,,12800,P0217
2025,Bリーグ,レギュラー, 48 ,2025/05/30,22:49:33,おたまーず,エイデン二号機,-53.0,4着,,7000,P0075
2025,Aリーグ,レギュラー, 49 ,2025/06/02,21:28:26,クレイジーダイヤモンド,ナッチー,88.2,1着,第一試合,68200,P0151
2025,Aリーグ,レギュラー, 49 ,2025/06/02,21:28:26,MJ東京,ワイス,46.7,2着,,66700,P0225
2025,Aリーグ,レギュラー, 49 ,2025/06/02,21:28:26,さわやかMJ野郎の会,ソニア@SMY会,-49.0,3着,,-9000,P0127
2025,Aリーグ,レギュラー, 49 ,2025/06/02,21:28:26,Team MJ lovers,小林宏康,-85.9,4着,,-25900,P0275
2025,Bリーグ,レギュラー, 50 ,2025/06/02,21:35:31,電光石火,EmperorTime,68.8,1着,第一試合,48800,P0024
2025,Bリーグ,レギュラー, 50 ,2025/06/02,21:35:31,チームミラデミア,ひろとだポン,2.4,2着,,22400,P0163
2025,Bリーグ,レギュラー, 50 ,2025/06/02,21:35:31,教室生☆KSC,Redstar,-23.1,3着,,16900,P0051
2025,Bリーグ,レギュラー, 50 ,2025/06/02,21:35:31,最強位ズ,ｒｒｒｒｒｒ,-48.1,4着,,11900,P0053
2025,Bリーグ,レギュラー, 51 ,2025/06/02,21:36:07,サクラフレンズ,‪☆徳徳☆,86.6,1着,第一試合,66600,P0009
2025,Bリーグ,レギュラー, 51 ,2025/06/02,21:36:07,たちこまーず,坊や哲,7.8,2着,,27800,P0310
2025,Bリーグ,レギュラー, 51 ,2025/06/02,21:36:07,おたまーず,二階堂ゴリエ,-33.5,3着,,6500,P0306
2025,Bリーグ,レギュラー, 51 ,2025/06/02,21:36:07,ＺＯＯ,サンタマルコ,-60.9,4着,,-900,P0110
2025,Aリーグ,レギュラー, 52 ,2025/06/02,21:37:56,武装,ツナマヨ,56.3,1着,第一試合,36300,P0138
2025,Aリーグ,レギュラー, 52 ,2025/06/02,21:37:56,MJAC愛好会,ロンリーボーイ,8.5,2着,,28500,P0224
2025,Aリーグ,レギュラー, 52 ,2025/06/02,21:37:56,TEAM AJITO,あばだんご,-14.2,3着,,25800,P0069
2025,Aリーグ,レギュラー, 52 ,2025/06/02,21:37:56,レッドリボン軍,かじ,-50.6,4着,,9400,P0090
2025,Bリーグ,レギュラー, 53 ,2025/06/02,21:45:46,HIVE,最後のZ戦士達,59.9,1着,第一試合,39900,P0261
2025,Bリーグ,レギュラー, 53 ,2025/06/02,21:45:46,ガラスのお面,miiko,9.7,2着,,29700,P0041
2025,Bリーグ,レギュラー, 53 ,2025/06/02,21:45:46,他力本願寺,ルイ14世,-17.3,3着,,22700,P0218
2025,Bリーグ,レギュラー, 53 ,2025/06/02,21:45:46,enjoyすればイイ雀！,ブロッケンG,-52.3,4着,,7700,P0170
